Time [s],Value,Parity Error,Framing Error
2.232803,0x5A,,
2.232898,0xFF,,
2.233621,0x06,,
2.233717,0xA1,,
2.233812,0xFF,,
2.233908,0xFF,,
2.234003,0x5A,,
2.234099,0xFD,,
2.240313,0x04,,
2.240408,0xA2,,
2.240504,0x59,,
2.240599,0xFF,,
2.241319,0x06,,
2.241414,0xA2,,
2.241509,0x00,,
2.241604,0x00,,
2.241699,0x57,,
2.241794,0xFF,,
2.248013,0x04,,
2.248109,0xA1,,
2.248205,0x5A,,
2.2483,0xFF,,
2.249023,0x06,,
2.249118,0xA1,,
2.249214,0xFF,,
2.249309,0xFF,,
2.249405,0x5A,,
2.2495,0xFD,,
2.255714,0x04,,
2.25581,0xA2,,
2.255905,0x59,,
2.256001,0xFF,,
2.263415,0x04,,
2.263511,0xA2,,
2.263606,0x59,,
2.263702,0xFF,,
2.264413,0x06,,
2.264508,0xA2,,
2.264603,0x00,,
2.264698,0x00,,
2.264793,0x57,,
2.264888,0xFF,,
2.271114,0x04,,
2.27121,0xA1,,
2.271305,0x5A,,
2.271401,0xFF,,
2.272121,0x06,,
2.272216,0xA1,,
2.272312,0xFF,,
2.272407,0xFF,,
2.272503,0x5A,,
2.272598,0xFD,,
2.278816,0x04,,
2.278911,0xA2,,
2.279007,0x59,,
2.279103,0xFF,,
2.279817,0x06,,
2.279912,0xA2,,
2.280007,0x00,,
2.280101,0x00,,
2.280196,0x57,,
2.280291,0xFF,,
2.286517,0x04,,
2.286612,0xA1,,
2.286708,0x5A,,
2.286803,0xFF,,
2.287526,0x06,,
2.287621,0xA1,,
2.287717,0xFF,,
2.287813,0xFF,,
2.287908,0x5A,,
2.288004,0xFD,,
2.294218,0x04,,
2.294313,0xA2,,
2.294409,0x59,,
2.294504,0xFF,,
2.295222,0x06,,
2.295316,0xA2,,
2.295411,0x00,,
2.295506,0x00,,
2.295601,0x57,,
2.295696,0xFF,,
2.301917,0x04,,
2.302013,0xA1,,
2.302109,0x5A,,
2.302204,0xFF,,
2.302931,0x06,,
2.303026,0xA1,,
2.303122,0xFF,,
2.303217,0xFF,,
2.303313,0x5A,,
2.303408,0xFD,,
2.309619,0x04,,
2.309715,0xA2,,
2.30981,0x59,,
2.309906,0xFF,,
2.310617,0x06,,
2.310712,0xA2,,
2.310807,0x00,,
2.310902,0x00,,
2.310997,0x57,,
2.311092,0xFF,,
2.31732,0x04,,
2.317416,0xA1,,
2.317511,0x5A,,
2.317607,0xFF,,
2.31833,0x06,,
2.318425,0xA1,,
2.318521,0xFF,,
2.318616,0xFF,,
2.318712,0x5A,,
2.318807,0xFD,,
2.32502,0x04,,
2.325116,0xA2,,
2.325211,0x59,,
2.325307,0xFF,,
2.32602,0x06,,
2.326115,0xA2,,
2.32621,0x00,,
2.326305,0x00,,
2.326399,0x57,,
2.326494,0xFF,,
2.332722,0x04,,
2.332817,0xA1,,
2.332913,0x5A,,
2.333009,0xFF,,
2.333729,0x06,,
2.333824,0xA1,,
2.33392,0xFF,,
2.334015,0xFF,,
2.334111,0x5A,,
2.334206,0xFD,,
2.340422,0x04,,
2.340517,0xA2,,
2.340613,0x59,,
2.340708,0xFF,,
2.341422,0x06,,
2.341517,0xA2,,
2.341612,0x00,,
2.341707,0x00,,
2.341801,0x57,,
2.341896,0xFF,,
2.348123,0x04,,
2.348218,0xA1,,
2.348314,0x5A,,
2.348409,0xFF,,
2.349134,0x06,,
2.349229,0xA1,,
2.349325,0xFF,,
2.34942,0xFF,,
2.349516,0x5A,,
2.349611,0xFD,,
2.355823,0x04,,
2.355919,0xA2,,
2.356015,0x59,,
2.35611,0xFF,,
2.356824,0x06,,
2.356919,0xA2,,
2.357013,0x00,,
2.357108,0x00,,
2.357203,0x57,,
2.357298,0xFF,,
2.363524,0x04,,
2.36362,0xA1,,
2.363715,0x5A,,
2.363811,0xFF,,
2.364532,0x06,,
2.364628,0xA1,,
2.364723,0xFF,,
2.364819,0xFF,,
2.364914,0x5A,,
2.36501,0xFD,,
2.371225,0x04,,
2.371321,0xA2,,
2.371416,0x59,,
2.371512,0xFF,,
2.372227,0x06,,
2.372322,0xA2,,
2.372417,0x00,,
2.372512,0x00,,
2.372606,0x57,,
