Time [s],Value,Parity Error,Framing Error
7.336957,0x04,,
7.337052,0xA2,,
7.337148,0x59,,
7.337243,0xFF,,
7.337961,0x06,,
7.338057,0xA2,,
7.338152,0xFF,,
7.338248,0xFF,,
7.338343,0x59,,
7.338439,0xFD,,
7.344657,0x04,,
7.344753,0xA1,,
7.344849,0x5A,,
7.344944,0xFF,,
7.352358,0x04,,
7.352454,0xA2,,
7.352549,0x59,,
7.352645,0xFF,,
7.353366,0x06,,
7.353462,0xA2,,
7.353557,0xFF,,
7.353653,0xFF,,
7.353748,0x59,,
7.353844,0xFD,,
7.360059,0x04,,
7.360155,0xA1,,
7.36025,0x5A,,
7.360346,0xFF,,
7.36776,0x04,,
7.367856,0xA2,,
7.367951,0x59,,
7.368047,0xFF,,
7.368766,0x06,,
7.368861,0xA2,,
7.368957,0xFF,,
7.369052,0xFF,,
7.369148,0x59,,
7.369243,0xFD,,
7.375461,0x04,,
7.375556,0xA1,,
7.375652,0x5A,,
7.375748,0xFF,,
7.383162,0x04,,
7.383257,0xA1,,
7.383353,0x5A,,
7.383448,0xFF,,
7.390863,0x04,,
7.390958,0xA2,,
7.391054,0x59,,
7.391149,0xFF,,
7.391877,0x06,,
7.391972,0xA2,,
7.392068,0xFF,,
7.392163,0xFF,,
7.392259,0x59,,
7.392354,0xFD,,
7.398563,0x04,,
7.398659,0xA1,,
7.398755,0x5A,,
7.39885,0xFF,,
7.406264,0x04,,
7.40636,0xA2,,
7.406455,0x59,,
7.406551,0xFF,,
7.407276,0x06,,
7.407371,0xA2,,
7.407467,0xFF,,
7.407562,0xFF,,
7.407658,0x59,,
7.407753,0xFD,,
7.413965,0x04,,
7.414061,0xA1,,
7.414156,0x5A,,
7.414252,0xFF,,
7.421666,0x04,,
7.421762,0xA2,,
7.421857,0x59,,
7.421953,0xFF,,
7.422673,0x06,,
7.422769,0xA2,,
7.422864,0xFF,,
7.42296,0xFF,,
7.423056,0x59,,
7.423151,0xFD,,
7.429367,0x04,,
7.429462,0xA1,,
7.429558,0x5A,,
7.429654,0xFF,,
7.437068,0x04,,
7.437163,0xA2,,
7.437259,0x59,,
7.437354,0xFF,,
7.438073,0x06,,
7.438168,0xA2,,
7.438264,0xFF,,
7.438359,0xFF,,
7.438455,0x59,,
7.43855,0xFD,,
7.444769,0x04,,
7.444864,0xA1,,
7.44496,0x5A,,
7.445055,0xFF,,
7.452469,0x04,,
7.452565,0xA2,,
7.452661,0x59,,
7.452756,0xFF,,
7.453479,0x06,,
7.453574,0xA2,,
7.45367,0xFF,,
7.453765,0xFF,,
7.453861,0x59,,
7.453956,0xFD,,
7.460169,0x04,,
7.460265,0xA1,,
7.46036,0x5A,,
7.460456,0xFF,,
7.46787,0x04,,
7.467966,0xA2,,
7.468061,0x59,,
7.468157,0xFF,,
7.468878,0x06,,
7.468973,0xA2,,
7.469069,0xFF,,
7.469164,0xFF,,
7.46926,0x59,,
7.469355,0xFD,,
7.475571,0x04,,
7.475667,0x83,,
7.475762,0x78,,
7.475858,0xFF,,
7.483272,0x04,,
7.483367,0xA1,,
7.483463,0x5A,,
7.483559,0xFF,,
7.490973,0x04,,
7.491068,0xA2,,
7.491164,0x59,,
7.491259,0xFF,,
7.491981,0x06,,
7.492076,0xA2,,
7.492172,0xFF,,
7.492267,0xFF,,
7.492363,0x59,,
7.492458,0xFD,,
7.498674,0x04,,
7.498769,0xA1,,
7.498865,0x5A,,
7.49896,0xFF,,
7.506374,0x04,,
7.50647,0xA2,,
7.506566,0x59,,
7.506661,0xFF,,
7.50738,0x06,,
7.507475,0xA2,,
7.507571,0xFF,,
7.507666,0xFF,,
7.507762,0x59,,
7.507857,0xFD,,
7.514075,0x04,,
7.514171,0xA1,,
7.514266,0x5A,,
7.514362,0xFF,,
7.521776,0x04,,
7.521872,0xA2,,
7.521967,0x59,,
7.522063,0xFF,,
7.522792,0x06,,
7.522887,0xA2,,
7.522983,0xFF,,
7.523078,0xFF,,
7.523174,0x59,,
7.523269,0xFD,,
7.529477,0x04,,
7.529573,0xA1,,
7.529668,0x5A,,
7.529764,0xFF,,
7.537178,0x04,,
7.537273,0xA2,,
7.537369,0x59,,
7.537465,0xFF,,
7.538185,0x06,,
7.53828,0xA2,,
7.538376,0xFF,,
7.538471,0xFF,,
7.538567,0x59,,
7.538662,0xFD,,
7.544879,0x04,,
7.544974,0xA1,,
7.54507,0x5A,,
7.545165,0xFF,,
7.55258,0x04,,
7.552675,0xA2,,
7.552771,0x59,,
7.552866,0xFF,,
7.55359,0x06,,
7.553685,0xA2,,
7.553781,0xFF,,
7.553876,0xFF,,
7.553972,0x59,,
7.554067,0xFD,,
7.56028,0x04,,
7.560376,0xA1,,
7.560472,0x5A,,
7.560567,0xFF,,
7.567981,0x04,,
7.568077,0xA2,,
7.568172,0x59,,
7.568268,0xFF,,
7.568987,0x06,,
7.569083,0xA2,,
7.569178,0xFF,,
7.569274,0xFF,,
7.569369,0x59,,
7.569465,0xFD,,
7.575682,0x04,,
7.575778,0xA1,,
7.575873,0x5A,,
7.575969,0xFF,,
7.583383,0x04,,
7.583479,0xA2,,
7.583574,0x59,,
7.58367,0xFF,,
7.584395,0x06,,
7.58449,0xA2,,
7.584586,0xFF,,
7.584681,0xFF,,
7.584777,0x59,,
7.584872,0xFD,,
7.591083,0x04,,
7.591178,0xA1,,
7.591274,0x5A,,
7.59137,0xFF,,
7.598785,0x04,,
7.59888,0xA2,,
